,player,date,opp,result,min,fgm-a,3pm-a,ftm-a,oreb,dreb,reb,ast,stl,blk,to,pf,pts
5,isabelle-harrison,"AUG 12, 2017",SAN vs. ATL,W,30,10 - 12,0 - 0,3 - 4,1,6,7,4,2,2,1,1,23
6,isabelle-harrison,"AUG 10, 2017",SAN @ CHI,L,30,4 - 8,0 - 0,2 - 4,4,5,9,0,1,0,0,2,10
7,isabelle-harrison,"AUG 05, 2017",SAN vs. SEA,W,30,2 - 9,0 - 0,1 - 2,6,7,13,3,0,0,2,4,5
8,isabelle-harrison,"AUG 04, 2017",SAN vs. WAS,W,32,8 - 13,0 - 0,4 - 5,2,8,10,1,2,1,1,4,20
9,isabelle-harrison,"AUG 01, 2017",SAN vs. NYL,W,29,4 - 9,0 - 0,0 - 0,2,6,8,4,0,0,0,1,8
10,isabelle-harrison,"JUL 30, 2017",SAN @ PHO,L,32,4 - 9,0 - 0,2 - 2,3,10,13,1,0,0,5,1,10
11,isabelle-harrison,"JUL 28, 2017",SAN vs. LAS,L,26,7 - 12,0 - 0,0 - 0,1,5,6,2,1,0,3,5,14
12,isabelle-harrison,"JUL 25, 2017",SAN vs. WAS,L,27,3 - 11,0 - 0,2 - 4,3,1,4,2,2,0,1,4,8
13,isabelle-harrison,"JUL 20, 2017",SAN vs. IND,W,24,8 - 10,0 - 0,2 - 2,1,8,9,0,0,0,2,3,18
14,isabelle-harrison,"JUL 18, 2017",SAN @ ATL,L,29,9 - 13,0 - 0,4 - 6,2,7,9,0,0,2,3,4,22
15,isabelle-harrison,"JUL 16, 2017",SAN @ CON,L,27,8 - 14,0 - 0,1 - 2,5,1,6,1,0,0,4,2,17
16,isabelle-harrison,"JUL 12, 2017",SAN @ IND,W,22,4 - 7,0 - 0,1 - 3,1,4,5,2,2,0,2,1,9
17,isabelle-harrison,"JUL 07, 2017",SAN vs. PHO,L,18,2 - 5,0 - 0,0 - 0,0,3,3,1,2,0,1,2,4
18,isabelle-harrison,"JUL 05, 2017",SAN vs. CON,L,17,2 - 5,0 - 0,2 - 3,0,2,2,0,1,0,3,2,6
19,isabelle-harrison,"JUN 30, 2017",SAN vs. CHI,W,30,9 - 16,1 - 1,0 - 0,2,8,10,6,1,1,3,2,19
20,isabelle-harrison,"JUN 25, 2017",SAN @ MIN,L,34,6 - 13,0 - 0,1 - 3,4,5,9,2,2,2,3,4,13
21,isabelle-harrison,"JUN 23, 2017",SAN vs. DAL,L,30,6 - 11,0 - 0,0 - 0,1,5,6,2,0,1,4,2,12
22,isabelle-harrison,"JUN 21, 2017",SAN @ DAL,L,23,1 - 4,0 - 0,2 - 2,0,6,6,4,0,1,2,6,4
23,isabelle-harrison,"JUN 18, 2017",SAN @ SEA,L,27,0 - 4,0 - 0,3 - 6,3,0,3,0,2,2,3,3,3
24,isabelle-harrison,"JUN 15, 2017",SAN @ LAS,L,35,10 - 15,0 - 1,2 - 2,3,5,8,4,2,1,1,4,22
25,isabelle-harrison,"JUN 10, 2017",SAN vs. CHI,L,21,3 - 12,0 - 0,0 - 2,3,1,4,0,1,0,1,2,6
26,isabelle-harrison,"JUN 06, 2017",SAN vs. SEA,L,23,4 - 8,0 - 0,2 - 2,3,2,5,0,0,0,1,6,10
27,isabelle-harrison,"JUN 03, 2017",SAN vs. CON,L,34,5 - 11,0 - 0,1 - 2,0,6,6,0,2,1,0,3,11
28,isabelle-harrison,"MAY 31, 2017",SAN @ ATL,L,19,2 - 4,0 - 0,2 - 2,0,2,2,0,1,2,3,4,6
29,isabelle-harrison,"MAY 28, 2017",SAN @ MIN,L,24,5 - 6,0 - 0,1 - 1,3,1,4,3,0,0,2,3,11
30,isabelle-harrison,"MAY 25, 2017",SAN vs. DAL,L,31,7 - 10,0 - 0,2 - 3,5,7,12,0,1,5,3,3,16
31,isabelle-harrison,"MAY 19, 2017",SAN vs. PHO,L,29,5 - 9,0 - 0,6 - 10,0,1,1,1,0,1,1,3,16
32,isabelle-harrison,"MAY 14, 2017",SAN @ WAS,L,15,2 - 4,0 - 0,2 - 2,2,1,3,0,1,0,4,6,6
33,isabelle-harrison,"MAY 13, 2017",SAN @ NYL,L,26,6 - 14,0 - 0,3 - 6,4,1,5,1,0,1,1,3,15
0,sequoia-holmes,"SEP 02, 2017",SAN @ IND,W,9,0 - 1,0 - 0,0 - 0,0,0,0,0,0,1,1,0,0
1,sequoia-holmes,"SEP 01, 2017",SAN @ NYL,L,6,0 - 2,0 - 0,0 - 0,0,0,0,1,0,0,0,0,0
2,sequoia-holmes,"AUG 25, 2017",SAN vs. MIN,L,10,2 - 4,1 - 2,2 - 2,1,0,1,0,0,0,0,1,7
3,sequoia-holmes,"AUG 22, 2017",SAN @ LAS,L,2,0 - 1,0 - 1,0 - 0,0,0,0,0,0,0,0,1,0
4,sequoia-holmes,"AUG 18, 2017",SAN @ SEA,L,6,0 - 2,0 - 1,0 - 0,0,0,0,0,0,0,0,0,0
5,sequoia-holmes,"AUG 12, 2017",SAN vs. ATL,W,10,0 - 2,0 - 2,0 - 0,1,0,1,2,1,0,2,2,0
6,sequoia-holmes,"AUG 10, 2017",SAN @ CHI,L,20,6 - 8,2 - 3,0 - 0,0,1,1,1,1,1,1,1,14
7,sequoia-holmes,"AUG 05, 2017",SAN vs. SEA,W,13,0 - 1,0 - 1,2 - 4,1,0,1,1,0,0,0,1,2
8,sequoia-holmes,"AUG 04, 2017",SAN vs. WAS,W,13,2 - 3,1 - 1,0 - 0,0,2,2,1,0,1,1,1,5
9,sequoia-holmes,"AUG 01, 2017",SAN vs. NYL,W,1,0 - 1,0 - 1,0 - 0,0,0,0,0,0,0,0,0,0
10,sequoia-holmes,"JUL 30, 2017",SAN @ PHO,L,9,1 - 2,0 - 0,0 - 0,0,1,1,0,0,0,0,3,2
11,sequoia-holmes,"JUL 28, 2017",SAN vs. LAS,L,4,0 - 1,0 - 1,0 - 0,0,0,0,0,0,0,0,0,0
12,sequoia-holmes,"JUL 25, 2017",SAN vs. WAS,L,7,2 - 2,2 - 2,0 - 0,0,2,2,1,0,0,0,3,6
13,sequoia-holmes,"JUL 20, 2017",SAN vs. IND,W,23,3 - 4,2 - 2,0 - 0,2,0,2,2,3,0,1,0,8
14,sequoia-holmes,"JUL 18, 2017",SAN @ ATL,L,20,5 - 13,3 - 9,0 - 0,2,1,3,2,1,1,2,3,13
15,sequoia-holmes,"JUL 16, 2017",SAN @ CON,L,6,0 - 3,0 - 0,0 - 0,1,0,1,0,0,0,0,0,0
16,sequoia-holmes,"JUL 12, 2017",SAN @ IND,W,8,1 - 5,0 - 4,0 - 1,0,0,0,0,0,0,0,0,2
17,sequoia-holmes,"JUN 25, 2017",SAN @ MIN,L,15,2 - 6,1 - 3,2 - 2,0,1,1,0,2,0,0,1,7
18,sequoia-holmes,"JUN 23, 2017",SAN vs. DAL,L,5,1 - 3,0 - 0,0 - 0,0,0,0,1,0,0,1,1,2
19,sequoia-holmes,"JUN 21, 2017",SAN @ DAL,L,7,0 - 1,0 - 1,0 - 0,1,1,2,1,0,0,0,0,0
20,sequoia-holmes,"JUN 03, 2017",SAN vs. CON,L,7,0 - 2,0 - 1,0 - 0,0,0,0,0,0,0,0,2,0
21,sequoia-holmes,"MAY 31, 2017",SAN @ ATL,L,8,0 - 1,0 - 1,0 - 0,0,0,0,3,1,0,0,0,0
22,sequoia-holmes,"MAY 28, 2017",SAN @ MIN,L,4,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,1,0,0
23,sequoia-holmes,"MAY 25, 2017",SAN vs. DAL,L,11,0 - 2,0 - 2,2 - 2,1,1,2,1,1,1,1,1,2
24,sequoia-holmes,"MAY 19, 2017",SAN vs. PHO,L,20,2 - 10,1 - 4,0 - 0,1,1,2,2,0,1,0,1,5
25,sequoia-holmes,"MAY 14, 2017",SAN @ WAS,L,34,3 - 10,1 - 5,0 - 0,1,1,2,4,1,0,0,2,7
26,sequoia-holmes,"MAY 13, 2017",SAN @ NYL,L,28,3 - 6,0 - 1,0 - 2,1,0,1,1,2,0,1,1,6
0,moriah-jefferson,"AUG 12, 2017",SAN vs. ATL,W,16,6 - 9,0 - 0,2 - 2,1,1,2,2,3,1,1,1,14
1,moriah-jefferson,"AUG 04, 2017",SAN vs. WAS,W,16,0 - 3,0 - 0,0 - 0,0,0,0,2,1,0,3,2,0
2,moriah-jefferson,"AUG 01, 2017",SAN vs. NYL,W,21,3 - 4,0 - 0,2 - 2,1,1,2,5,0,0,2,0,8
3,moriah-jefferson,"JUL 28, 2017",SAN vs. LAS,L,24,1 - 4,0 - 1,1 - 2,0,1,1,6,0,0,2,1,3
4,moriah-jefferson,"JUL 25, 2017",SAN vs. WAS,L,26,1 - 3,0 - 0,0 - 0,0,2,2,3,0,0,1,1,2
5,moriah-jefferson,"JUL 20, 2017",SAN vs. IND,W,26,5 - 8,1 - 1,0 - 0,0,2,2,8,2,0,2,1,11
6,moriah-jefferson,"JUL 18, 2017",SAN @ ATL,L,27,2 - 6,0 - 0,1 - 1,1,4,5,5,2,0,3,5,5
7,moriah-jefferson,"JUL 16, 2017",SAN @ CON,L,20,4 - 6,0 - 0,0 - 0,0,0,0,3,1,0,3,1,8
8,moriah-jefferson,"JUL 05, 2017",SAN vs. CON,L,18,3 - 5,0 - 0,0 - 2,0,3,3,2,0,0,1,0,6
9,moriah-jefferson,"JUN 30, 2017",SAN vs. CHI,W,32,6 - 8,1 - 1,0 - 0,0,1,1,8,1,0,2,0,13
10,moriah-jefferson,"JUN 25, 2017",SAN @ MIN,L,36,8 - 14,0 - 1,3 - 4,0,1,1,8,4,0,1,4,19
11,moriah-jefferson,"JUN 23, 2017",SAN vs. DAL,L,17,1 - 4,0 - 0,0 - 0,0,1,1,5,0,0,2,2,2
12,moriah-jefferson,"JUN 21, 2017",SAN @ DAL,L,32,7 - 14,0 - 2,2 - 2,0,1,1,6,3,0,1,3,16
13,moriah-jefferson,"JUN 18, 2017",SAN @ SEA,L,22,3 - 7,0 - 1,1 - 2,0,1,1,1,2,0,1,2,7
14,moriah-jefferson,"JUN 15, 2017",SAN @ LAS,L,35,8 - 11,4 - 5,4 - 5,1,2,3,3,2,0,5,3,24
15,moriah-jefferson,"JUN 10, 2017",SAN vs. CHI,L,31,8 - 12,1 - 1,1 - 2,0,2,2,4,5,0,2,2,18
16,moriah-jefferson,"JUN 06, 2017",SAN vs. SEA,L,22,5 - 11,0 - 2,0 - 0,1,1,2,5,0,0,1,1,10
17,moriah-jefferson,"JUN 03, 2017",SAN vs. CON,L,21,3 - 8,0 - 2,1 - 1,1,2,3,5,1,0,2,2,7
18,moriah-jefferson,"MAY 31, 2017",SAN @ ATL,L,18,2 - 4,1 - 1,0 - 0,0,0,0,0,1,0,3,0,5
19,moriah-jefferson,"MAY 28, 2017",SAN @ MIN,L,32,2 - 7,0 - 0,0 - 0,0,3,3,8,1,0,3,2,4
20,moriah-jefferson,"MAY 25, 2017",SAN vs. DAL,L,23,3 - 7,1 - 2,2 - 2,0,2,2,3,4,1,2,2,9
0,kayla-mcbride,"SEP 02, 2017",SAN @ IND,W,38,8 - 12,1 - 2,11 - 11,1,10,11,6,1,0,2,1,28
1,kayla-mcbride,"SEP 01, 2017",SAN @ NYL,L,37,2 - 11,0 - 4,3 - 3,1,3,4,8,0,0,1,1,7
2,kayla-mcbride,"AUG 25, 2017",SAN vs. MIN,L,37,6 - 18,1 - 5,2 - 2,0,4,4,4,1,0,1,1,15
3,kayla-mcbride,"AUG 22, 2017",SAN @ LAS,L,37,2 - 8,0 - 4,0 - 0,0,3,3,3,1,0,1,0,4
4,kayla-mcbride,"AUG 18, 2017",SAN @ SEA,L,38,7 - 14,4 - 7,0 - 0,1,2,3,1,0,0,3,1,18
5,kayla-mcbride,"AUG 12, 2017",SAN vs. ATL,W,29,5 - 10,2 - 5,2 - 2,0,4,4,3,0,1,2,2,14
6,kayla-mcbride,"AUG 10, 2017",SAN @ CHI,L,23,2 - 11,1 - 3,0 - 0,0,2,2,0,1,0,0,1,5
7,kayla-mcbride,"AUG 05, 2017",SAN vs. SEA,W,33,4 - 16,1 - 7,8 - 9,1,2,3,1,0,0,3,3,17
8,kayla-mcbride,"AUG 04, 2017",SAN vs. WAS,W,32,4 - 13,1 - 6,3 - 5,0,2,2,4,1,0,1,1,12
9,kayla-mcbride,"AUG 01, 2017",SAN vs. NYL,W,37,9 - 22,5 - 11,8 - 8,0,1,1,4,3,0,3,1,31
10,kayla-mcbride,"JUL 30, 2017",SAN @ PHO,L,29,5 - 12,1 - 3,2 - 2,2,4,6,2,2,0,3,3,13
11,kayla-mcbride,"JUL 28, 2017",SAN vs. LAS,L,32,5 - 11,2 - 3,8 - 8,1,4,5,1,0,0,0,0,20
12,kayla-mcbride,"JUL 25, 2017",SAN vs. WAS,L,29,3 - 10,1 - 5,5 - 6,1,2,3,1,2,0,2,1,12
13,kayla-mcbride,"JUL 16, 2017",SAN @ CON,L,28,6 - 11,1 - 4,1 - 1,0,2,2,2,3,0,1,0,14
14,kayla-mcbride,"JUL 12, 2017",SAN @ IND,W,38,2 - 8,2 - 5,12 - 13,0,6,6,6,3,0,1,1,18
15,kayla-mcbride,"JUL 07, 2017",SAN vs. PHO,L,35,6 - 18,2 - 7,8 - 8,2,2,4,0,1,0,1,3,22
16,kayla-mcbride,"JUL 05, 2017",SAN vs. CON,L,26,3 - 12,1 - 5,5 - 6,0,2,2,2,1,0,5,0,12
17,kayla-mcbride,"JUN 30, 2017",SAN vs. CHI,W,32,4 - 11,1 - 4,5 - 5,0,0,0,2,1,0,1,2,14
18,kayla-mcbride,"JUN 25, 2017",SAN @ MIN,L,37,6 - 19,0 - 6,5 - 7,2,4,6,3,0,0,1,3,17
19,kayla-mcbride,"JUN 23, 2017",SAN vs. DAL,L,38,7 - 11,4 - 7,2 - 2,0,3,3,2,1,1,2,0,20
20,kayla-mcbride,"JUN 21, 2017",SAN @ DAL,L,36,4 - 11,3 - 6,0 - 0,0,5,5,1,2,0,2,2,11
21,kayla-mcbride,"JUN 18, 2017",SAN @ SEA,L,34,3 - 14,2 - 8,3 - 3,1,8,9,2,3,0,3,1,11
22,kayla-mcbride,"JUN 15, 2017",SAN @ LAS,L,38,2 - 10,1 - 7,2 - 2,0,7,7,5,1,0,0,1,7
23,kayla-mcbride,"JUN 10, 2017",SAN vs. CHI,L,39,4 - 13,3 - 8,4 - 4,0,6,6,3,0,0,3,0,15
24,kayla-mcbride,"JUN 06, 2017",SAN vs. SEA,L,33,9 - 14,2 - 5,1 - 1,0,6,6,0,1,0,2,1,21
25,kayla-mcbride,"JUN 03, 2017",SAN vs. CON,L,33,7 - 14,4 - 6,9 - 9,0,6,6,2,0,0,2,2,27
26,kayla-mcbride,"MAY 31, 2017",SAN @ ATL,L,30,3 - 10,0 - 5,0 - 0,0,3,3,1,1,2,0,2,6
27,kayla-mcbride,"MAY 28, 2017",SAN @ MIN,L,31,5 - 12,3 - 5,5 - 5,0,3,3,4,0,0,4,0,18
28,kayla-mcbride,"MAY 25, 2017",SAN vs. DAL,L,28,6 - 13,0 - 4,6 - 6,0,0,0,1,2,1,2,3,18
29,kayla-mcbride,"MAY 19, 2017",SAN vs. PHO,L,28,5 - 9,0 - 1,4 - 6,1,4,5,3,2,0,6,4,14
0,alex-montgomery,"SEP 02, 2017",SAN @ IND,W,29,1 - 9,0 - 0,2 - 2,2,3,5,4,1,0,4,0,4
1,alex-montgomery,"SEP 01, 2017",SAN @ NYL,L,27,3 - 11,2 - 5,0 - 0,1,9,10,1,0,0,4,3,8
2,alex-montgomery,"AUG 25, 2017",SAN vs. MIN,L,24,2 - 4,0 - 2,0 - 0,1,9,10,1,0,0,1,2,4
3,alex-montgomery,"AUG 22, 2017",SAN @ LAS,L,31,5 - 11,2 - 5,0 - 0,0,7,7,3,1,0,3,3,12
4,alex-montgomery,"AUG 18, 2017",SAN @ SEA,L,26,2 - 6,1 - 4,0 - 0,2,4,6,3,1,1,1,5,5
5,alex-montgomery,"AUG 12, 2017",SAN vs. ATL,W,28,2 - 3,0 - 0,0 - 0,0,2,2,3,0,1,2,2,4
6,alex-montgomery,"AUG 10, 2017",SAN @ CHI,L,19,3 - 6,1 - 1,0 - 0,0,3,3,1,0,0,1,4,7
7,alex-montgomery,"AUG 05, 2017",SAN vs. SEA,W,33,5 - 13,2 - 5,3 - 4,3,7,10,5,2,0,4,1,15
8,alex-montgomery,"AUG 04, 2017",SAN vs. WAS,W,24,4 - 8,2 - 2,0 - 0,0,4,4,1,1,1,0,1,10
9,alex-montgomery,"AUG 01, 2017",SAN vs. NYL,W,17,1 - 3,1 - 2,0 - 0,0,2,2,0,0,0,0,1,3
10,alex-montgomery,"JUL 30, 2017",SAN @ PHO,L,21,1 - 10,0 - 5,0 - 0,1,4,5,1,0,1,0,3,2
11,alex-montgomery,"JUL 28, 2017",SAN vs. LAS,L,32,7 - 11,1 - 3,0 - 0,0,3,3,3,2,0,2,1,15
12,alex-montgomery,"JUL 25, 2017",SAN vs. WAS,L,31,2 - 6,1 - 2,2 - 4,2,9,11,2,1,0,2,0,7
13,alex-montgomery,"JUL 20, 2017",SAN vs. IND,W,17,1 - 4,0 - 2,0 - 0,0,3,3,3,1,0,0,2,2
14,alex-montgomery,"JUL 18, 2017",SAN @ ATL,L,31,4 - 11,0 - 1,2 - 2,2,6,8,2,1,1,0,6,10
15,alex-montgomery,"JUL 16, 2017",SAN @ CON,L,30,2 - 10,0 - 4,0 - 1,1,7,8,2,0,1,2,2,4
16,alex-montgomery,"JUL 12, 2017",SAN @ IND,W,17,3 - 6,0 - 0,0 - 0,0,3,3,2,0,1,1,2,6
17,alex-montgomery,"JUL 07, 2017",SAN vs. PHO,L,27,5 - 8,0 - 1,2 - 2,0,3,3,2,2,0,2,5,12
18,alex-montgomery,"JUL 05, 2017",SAN vs. CON,L,25,1 - 5,1 - 3,0 - 0,1,5,6,1,1,1,1,1,3
19,alex-montgomery,"JUN 30, 2017",SAN vs. CHI,W,30,5 - 10,2 - 3,0 - 0,2,8,10,3,1,0,0,1,12
20,alex-montgomery,"JUN 25, 2017",SAN @ MIN,L,18,1 - 2,1 - 2,4 - 4,0,3,3,2,0,0,1,2,7
21,alex-montgomery,"JUN 23, 2017",SAN vs. DAL,L,9,1 - 1,1 - 1,0 - 0,0,3,3,1,1,0,0,0,3
22,alex-montgomery,"JUN 21, 2017",SAN @ DAL,L,9,0 - 2,0 - 1,0 - 0,0,1,1,0,0,0,0,3,0
23,alex-montgomery,"JUN 18, 2017",SAN @ SEA,L,19,1 - 6,1 - 3,0 - 0,1,4,5,1,0,0,1,2,3
24,alex-montgomery,"JUN 15, 2017",SAN @ LAS,L,19,1 - 3,0 - 1,0 - 0,0,4,4,0,0,0,2,3,2
25,alex-montgomery,"JUN 10, 2017",SAN vs. CHI,L,22,2 - 7,0 - 0,2 - 2,5,2,7,2,0,0,1,5,6
26,alex-montgomery,"JUN 06, 2017",SAN vs. SEA,L,26,2 - 7,0 - 1,0 - 0,0,3,3,5,1,0,2,4,4
27,alex-montgomery,"JUN 03, 2017",SAN vs. CON,L,19,2 - 5,2 - 4,0 - 0,1,6,7,1,0,0,0,1,6
28,alex-montgomery,"MAY 31, 2017",SAN @ ATL,L,22,0 - 2,0 - 0,2 - 2,4,4,8,3,0,0,2,3,2
29,alex-montgomery,"MAY 28, 2017",SAN @ MIN,L,16,2 - 3,0 - 0,0 - 0,0,2,2,2,1,0,2,2,4
30,alex-montgomery,"MAY 25, 2017",SAN vs. DAL,L,16,1 - 6,0 - 2,0 - 0,2,2,4,3,0,0,0,3,2
31,alex-montgomery,"MAY 19, 2017",SAN vs. PHO,L,25,3 - 7,1 - 4,0 - 0,2,10,12,2,0,1,2,3,7
32,alex-montgomery,"MAY 14, 2017",SAN @ WAS,L,35,4 - 9,1 - 5,0 - 0,2,3,5,5,2,1,4,2,9
33,alex-montgomery,"MAY 13, 2017",SAN @ NYL,L,26,2 - 4,0 - 1,0 - 0,4,7,11,1,1,0,0,3,4
0,shay-murphy,"SEP 02, 2017",SAN @ IND,W,6,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0
1,shay-murphy,"SEP 01, 2017",SAN @ NYL,L,4,0 - 1,0 - 1,0 - 0,0,0,0,0,0,0,0,0,0
2,shay-murphy,"AUG 25, 2017",SAN vs. MIN,L,4,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0
3,shay-murphy,"AUG 22, 2017",SAN @ LAS,L,6,0 - 3,0 - 3,0 - 0,1,1,2,0,0,0,1,2,0
4,shay-murphy,"AUG 18, 2017",SAN @ SEA,L,6,0 - 1,0 - 1,0 - 0,0,0,0,0,1,0,0,1,0
5,shay-murphy,"AUG 12, 2017",SAN vs. ATL,W,7,1 - 3,0 - 1,1 - 2,0,0,0,1,0,0,0,0,3
6,shay-murphy,"AUG 10, 2017",SAN @ CHI,L,3,0 - 0,0 - 0,0 - 0,0,1,1,0,0,0,0,0,0
7,shay-murphy,"AUG 05, 2017",SAN vs. SEA,W,7,1 - 3,1 - 2,0 - 0,0,3,3,0,1,0,1,2,3
8,shay-murphy,"AUG 04, 2017",SAN vs. WAS,W,4,1 - 2,1 - 1,0 - 0,0,0,0,1,0,0,0,1,3
9,shay-murphy,"AUG 01, 2017",SAN vs. NYL,W,10,0 - 1,0 - 0,0 - 0,1,0,1,2,0,1,1,0,0
10,shay-murphy,"JUL 30, 2017",SAN @ PHO,L,18,4 - 5,3 - 3,3 - 4,2,0,2,1,0,0,1,1,14
11,shay-murphy,"JUL 20, 2017",SAN vs. IND,W,4,0 - 0,0 - 0,0 - 0,0,1,1,0,0,0,0,0,0
12,shay-murphy,"JUL 18, 2017",SAN @ ATL,L,12,1 - 3,1 - 2,0 - 0,0,1,1,2,0,0,2,2,3
13,shay-murphy,"JUL 16, 2017",SAN @ CON,L,1,0 - 1,0 - 1,0 - 0,0,0,0,0,0,0,0,0,0
14,shay-murphy,"JUL 12, 2017",SAN @ IND,W,12,1 - 1,1 - 1,0 - 0,0,2,2,1,0,0,0,1,3
15,shay-murphy,"JUL 07, 2017",SAN vs. PHO,L,13,1 - 2,1 - 2,0 - 0,0,2,2,2,1,0,1,2,3
16,shay-murphy,"JUL 05, 2017",SAN vs. CON,L,10,2 - 4,1 - 2,0 - 0,0,1,1,0,1,0,0,1,5
17,shay-murphy,"JUN 23, 2017",PHO @ SEA,W,4,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0
18,shay-murphy,"JUN 18, 2017",PHO @ LAS,L,20,1 - 5,0 - 3,1 - 2,1,3,4,1,2,0,2,0,3
19,shay-murphy,"JUN 16, 2017",PHO vs. CHI,W,21,1 - 3,0 - 2,0 - 0,1,2,3,5,1,0,0,3,2
20,shay-murphy,"JUN 10, 2017",PHO vs. LAS,L,15,2 - 7,1 - 4,0 - 0,0,2,2,0,2,0,0,2,5
21,shay-murphy,"JUN 07, 2017",PHO @ IND,W,13,0 - 1,0 - 1,0 - 0,0,1,1,0,0,0,1,3,0
22,shay-murphy,"JUN 04, 2017",PHO @ NYL,L,8,0 - 1,0 - 0,0 - 0,3,1,4,0,0,0,1,0,0
23,shay-murphy,"JUN 01, 2017",PHO @ CHI,W,10,2 - 4,0 - 1,0 - 0,2,2,4,0,0,0,1,1,4
24,shay-murphy,"MAY 27, 2017",PHO vs. DAL,W,17,4 - 10,2 - 4,1 - 1,1,2,3,0,0,0,0,2,11
25,shay-murphy,"MAY 14, 2017",PHO vs. DAL,L,19,1 - 2,0 - 1,2 - 3,0,1,1,1,1,0,0,2,4
0,carolyn-swords,"SEP 03, 2017",SEA @ CHI,W,13,3 - 6,0 - 0,1 - 2,0,1,1,0,0,0,2,2,7
1,carolyn-swords,"SEP 01, 2017",SEA @ WAS,L,14,5 - 5,0 - 0,0 - 0,0,2,2,0,0,0,0,1,10
2,carolyn-swords,"AUG 27, 2017",SEA vs. PHO,L,10,2 - 3,0 - 0,0 - 0,1,2,3,0,0,2,1,2,4
3,carolyn-swords,"AUG 23, 2017",SEA @ ATL,L,6,1 - 2,0 - 0,0 - 0,0,1,1,0,0,0,0,0,2
4,carolyn-swords,"AUG 20, 2017",SEA @ CHI,W,13,1 - 2,0 - 0,2 - 2,0,4,4,2,0,0,1,0,4
5,carolyn-swords,"AUG 18, 2017",SEA vs. SAN,W,0,0 - 0,0 - 0,0 - 0,0,0,0,0,0,0,0,0,0
6,carolyn-swords,"AUG 16, 2017",SEA vs. MIN,W,10,0 - 0,0 - 0,1 - 2,1,0,1,0,0,0,1,1,1
7,carolyn-swords,"AUG 12, 2017",SEA @ PHO,W,9,2 - 2,0 - 0,0 - 0,0,0,0,0,0,0,2,4,4
8,carolyn-swords,"AUG 05, 2017",SEA @ SAN,L,7,2 - 3,0 - 0,0 - 0,1,2,3,0,1,0,1,1,4
9,carolyn-swords,"AUG 04, 2017",SEA @ DAL,L,8,0 - 2,0 - 0,1 - 2,0,1,1,0,1,1,0,0,1
10,carolyn-swords,"JUL 30, 2017",SEA @ MIN,L,11,1 - 3,0 - 0,0 - 0,0,0,0,0,0,0,0,5,2
11,carolyn-swords,"JUL 28, 2017",SEA vs. DAL,W,5,2 - 2,0 - 0,0 - 0,0,0,0,0,1,0,1,3,4
12,carolyn-swords,"JUL 18, 2017",SEA vs. CHI,L,11,0 - 1,0 - 0,1 - 2,1,2,3,0,0,0,0,2,1
13,carolyn-swords,"JUL 15, 2017",SEA vs. ATL,W,9,0 - 1,0 - 0,0 - 0,0,0,0,0,0,0,2,1,0
14,carolyn-swords,"JUL 12, 2017",SEA vs. CON,L,14,3 - 3,0 - 0,0 - 0,0,5,5,0,0,1,1,4,6
15,carolyn-swords,"JUL 06, 2017",SEA vs. NYL,L,3,1 - 1,0 - 0,1 - 2,0,1,1,0,0,0,2,3,3
16,carolyn-swords,"JUN 29, 2017",SEA @ CON,L,6,0 - 1,0 - 0,0 - 0,0,1,1,0,0,0,0,0,0
17,carolyn-swords,"JUN 27, 2017",SEA @ WAS,L,9,1 - 3,0 - 0,0 - 0,0,1,1,0,0,0,1,1,2
18,carolyn-swords,"JUN 23, 2017",SEA vs. PHO,L,11,0 - 0,0 - 0,2 - 2,1,2,3,0,0,0,3,5,2
19,carolyn-swords,"JUN 18, 2017",SEA vs. SAN,W,8,0 - 2,0 - 0,4 - 4,1,0,1,0,0,0,0,0,4
20,carolyn-swords,"JUN 13, 2017",SEA vs. ATL,L,8,0 - 1,0 - 0,0 - 0,0,0,0,0,0,0,1,4,0
21,carolyn-swords,"JUN 11, 2017",SEA @ NYL,L,1,0 - 1,0 - 0,0 - 0,1,0,1,0,0,0,1,1,0
22,carolyn-swords,"JUN 09, 2017",SEA @ IND,L,6,0 - 0,0 - 0,0 - 0,0,0,0,1,0,0,0,2,0
23,carolyn-swords,"JUN 06, 2017",SEA @ SAN,W,8,1 - 1,0 - 0,0 - 0,0,1,1,0,0,0,0,1,2
24,carolyn-swords,"JUN 03, 2017",SEA vs. MIN,L,15,2 - 3,0 - 0,0 - 0,0,3,3,2,0,1,0,4,4
25,carolyn-swords,"MAY 28, 2017",SEA vs. IND,W,8,1 - 3,0 - 0,2 - 2,1,0,1,2,0,0,2,4,4
26,carolyn-swords,"MAY 26, 2017",SEA vs. NYL,W,6,1 - 1,0 - 0,2 - 2,1,1,2,0,0,0,0,1,4
27,carolyn-swords,"MAY 21, 2017",SEA vs. WAS,W,7,0 - 0,0 - 0,0 - 0,0,1,1,0,0,0,0,1,0
28,carolyn-swords,"MAY 14, 2017",SEA vs. IND,W,8,0 - 2,0 - 0,0 - 0,1,1,2,1,1,0,1,1,0
29,carolyn-swords,"MAY 13, 2017",SEA @ LAS,L,16,1 - 1,0 - 0,0 - 0,1,3,4,1,1,1,2,1,2
